cliente_id,idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal,churn,previsao_churn,probabilidade
CLI00016,47.0,22.0,Básico,19.9,2,42,1.0,2.6,Credito,Desktop,0,Vai cancelar,0.6
CLI00017,62.0,55.0,basico,19.9,93,179,4.0,1.2,,Tablet,0,Vai cancelar,0.6
CLI00018,25.0,10.0,Básico,19.9,30,117,4.0,4.4,Débito,mobile,1,Vai continuar,0.2
CLI00019,60.0,11.0,Padrão,29.9,67,27,1.0,2.5,,TV,0,Vai cancelar,0.6
CLI00020,31.0,21.0,basico,19.9,8,83,3.0,1.9,Cartão de Crédito,Mobile,1,Vai cancelar,0.6
CLI00021,49.0,3.0,Padrão,29.9,38,17,2.0,1.8,,mobile,1,Vai cancelar,0.9
CLI00022,25.0,12.0,Padrão,29.9,27,138,5.0,4.1,,TV,0,Vai continuar,0.2
CLI00023,56.0,55.0,basico,19.9,64,71,0.0,4.0,,mobile,0,Vai continuar,0.2
CLI00024,43.0,60.0,Básico,19.9,79,133,3.0,4.4,Credito,tv,0,Vai continuar,0.2
CLI00025,44.0,48.0,PREMIUM,39.9,75,129,4.0,0.5,Débito,TV,0,Vai cancelar,0.6
CLI00026,31.0,15.0,Premium,39.9,70,61,0.0,4.3,Credito,Tablet,0,Vai continuar,0.2
CLI00027,44.0,12.0,Básico,19.9,54,50,6.0,0.4,Boleto,mobile,1,Vai cancelar,0.6
CLI00028,25.0,2.0,PREMIUM,39.9,11,120,9.0,3.2,Cartão de Crédito,TV,1,Vai continuar,0.5
CLI00029,48.0,32.0,Básico,19.9,39,165,4.0,3.8,Credito,TV,1,Vai continuar,0.2
CLI00030,68.0,51.0,Básico,19.9,3,17,7.0,0.1,,Desktop,1,Vai cancelar,0.6
CLI00031,66.0,30.0,Padrão,29.9,32,49,5.0,2.7,Cartão de Crédito,TV,0,Vai cancelar,0.6
CLI00032,56.0,37.0,Padrão,29.9,84,142,,2.1,,tv,0,Vai cancelar,0.6
CLI00033,39.0,38.0,PREMIUM,39.9,14,107,0.0,4.9,Cartão de Crédito,Desktop,0,Vai continuar,0.2
CLI00034,41.0,19.0,Básico,19.9,46,13,5.0,3.9,Cartão de Crédito,TV,1,Vai continuar,0.2
CLI00035,38.0,32.0,Premium,39.9,12,39,9.0,3.4,,Tablet,1,Vai continuar,0.2
CLI00036,74.0,60.0,PREMIUM,39.9,39,64,8.0,0.6,Débito,Mobile,1,Vai cancelar,0.6
CLI00037,69.0,3.0,basico,19.9,18,133,2.0,2.2,Credito,Tablet,1,Vai cancelar,0.9
CLI00038,22.0,20.0,Premium,39.9,75,135,0.0,2.5,Credito,Mobile,0,Vai cancelar,0.6
CLI00039,50.0,53.0,Padrão,29.9,35,66,1.0,3.3,PIX,TV,0,Vai continuar,0.2
CLI00040,71.0,29.0,Padrão,29.9,86,135,2.0,4.2,Boleto,tv,0,Vai continuar,0.2
CLI00041,22.0,24.0,Padrão,29.9,87,18,5.0,4.6,,TV,1,Vai continuar,0.2
CLI00042,69.0,5.0,PREMIUM,39.9,13,12,6.0,1.1,Cartão de Crédito,Mobile,1,Vai cancelar,0.9
CLI00043,67.0,53.0,Padrão,29.9,9,188,1.0,4.6,Cartão de Crédito,TV,1,Vai continuar,0.2
CLI00044,63.0,15.0,Básico,19.9,81,58,7.0,2.0,Cartão de Crédito,Desktop,0,Vai cancelar,0.6
CLI00045,31.0,30.0,Padrão,29.9,29,155,9.0,2.0,PIX,tv,0,Vai cancelar,0.6
CLI00046,37.0,6.0,Premium,39.9,72,105,5.0,4.8,Cartão de Crédito,Tablet,0,Vai continuar,0.2
CLI00047,72.0,36.0,PREMIUM,39.9,77,105,1.0,2.8,,TV,0,Vai cancelar,0.6
CLI00048,69.0,7.0,Premium,39.9,53,85,7.0,3.4,PIX,TV,0,Vai continuar,0.2
CLI00049,38.0,30.0,Premium,39.9,77,130,7.0,1.9,Boleto,Tablet,0,Vai cancelar,0.6
CLI00050,62.0,21.0,basico,19.9,3,70,0.0,0.9,Credito,Mobile,1,Vai cancelar,0.6
CLI00051,48.0,48.0,Premium,39.9,68,76,0.0,3.7,Cartão de Crédito,mobile,0,Vai continuar,0.2
CLI00052,62.0,49.0,Padrão,29.9,98,145,9.0,2.4,Cartão de Crédito,tv,1,Vai cancelar,0.6
CLI00053,28.0,52.0,Padrão,29.9,13,26,3.0,0.3,PIX,Tablet,1,Vai cancelar,0.6
CLI00054,68.0,11.0,PREMIUM,39.9,34,13,1.0,2.2,Boleto,Desktop,1,Vai cancelar,0.6
CLI00055,28.0,12.0,Padrão,29.9,34,117,0.0,2.6,Boleto,Desktop,0,Vai cancelar,0.6
CLI00056,47.0,56.0,Premium,39.9,85,76,8.0,2.8,Débito,mobile,0,Vai cancelar,0.6
CLI00057,41.0,3.0,basico,19.9,98,76,5.0,4.3,Débito,Mobile,1,Vai continuar,0.5
CLI00058,59.0,47.0,basico,19.9,57,152,3.0,3.6,Credito,TV,0,Vai continuar,0.2
CLI00059,44.0,56.0,Premium,39.9,72,116,1.0,4.7,Credito,tv,0,Vai continuar,0.2
CLI00060,32.0,10.0,Padrão,29.9,26,165,1.0,5.0,PIX,tv,0,Vai continuar,0.2
CLI00061,32.0,29.0,Premium,39.9,54,186,9.0,0.5,,TV,0,Vai cancelar,0.6
CLI00062,53.0,20.0,PREMIUM,39.9,56,165,0.0,2.6,Débito,Mobile,0,Vai cancelar,0.6
CLI00063,63.0,35.0,Padrão,29.9,15,27,8.0,0.6,Credito,Mobile,1,Vai cancelar,0.6
CLI00064,65.0,16.0,Premium,39.9,34,72,2.0,0.2,Credito,TV,1,Vai cancelar,0.6
CLI00065,75.0,25.0,Padrão,29.9,44,181,2.0,1.7,PIX,mobile,0,Vai cancelar,0.6
CLI00066,63.0,41.0,Padrão,29.9,68,37,0.0,0.4,Boleto,mobile,1,Vai cancelar,0.6
CLI00067,44.0,43.0,Básico,19.9,96,21,6.0,3.3,Débito,tv,0,Vai continuar,0.2
CLI00068,47.0,13.0,Padrão,29.9,93,94,6.0,3.3,,tv,0,Vai continuar,0.2
CLI00069,72.0,4.0,Padrão,29.9,77,29,7.0,0.7,Boleto,TV,1,Vai cancelar,0.9
CLI00070,62.0,43.0,Premium,39.9,59,23,1.0,0.5,PIX,mobile,1,Vai cancelar,0.6
CLI00071,64.0,13.0,Padrão,29.9,30,31,3.0,4.8,Boleto,mobile,1,Vai continuar,0.2
CLI00072,74.0,38.0,Premium,39.9,52,90,5.0,4.5,Débito,Mobile,0,Vai continuar,0.2
CLI00073,49.0,22.0,Padrão,29.9,75,50,8.0,0.1,PIX,TV,0,Vai cancelar,0.6
CLI00074,71.0,34.0,PREMIUM,39.9,54,168,8.0,2.4,PIX,TV,0,Vai cancelar,0.6
CLI00075,44.0,34.0,Premium,39.9,16,103,4.0,0.5,,TV,1,Vai cancelar,0.6
CLI00076,30.0,55.0,Básico,19.9,59,58,8.0,4.8,Boleto,tv,0,Vai continuar,0.2
CLI00077,35.0,47.0,basico,19.9,55,66,7.0,4.3,,Mobile,1,Vai continuar,0.2
CLI00078,60.0,32.0,PREMIUM,39.9,26,17,9.0,1.1,Débito,tv,1,Vai cancelar,0.6
CLI00079,24.0,9.0,Básico,19.9,53,70,6.0,1.5,Cartão de Crédito,mobile,1,Vai cancelar,0.6
CLI00080,48.0,47.0,Básico,19.9,91,157,7.0,2.5,,Tablet,0,Vai cancelar,0.6
CLI00081,29.0,55.0,Básico,19.9,96,47,3.0,1.2,Boleto,Mobile,0,Vai cancelar,0.6
CLI00082,48.0,46.0,PREMIUM,39.9,18,86,4.0,1.3,,tv,0,Vai cancelar,0.6
CLI00083,24.0,33.0,Padrão,29.9,28,39,0.0,2.2,Cartão de Crédito,Desktop,0,Vai cancelar,0.6
CLI00084,59.0,36.0,Premium,39.9,20,175,3.0,4.9,Cartão de Crédito,mobile,0,Vai continuar,0.2
CLI00085,74.0,50.0,Premium,39.9,46,189,3.0,1.4,Cartão de Crédito,Desktop,0,Vai cancelar,0.6
CLI00086,73.0,55.0,basico,19.9,47,71,3.0,0.8,Débito,mobile,0,Vai cancelar,0.6
CLI00087,68.0,51.0,Básico,19.9,74,173,1.0,1.7,PIX,TV,1,Vai cancelar,0.6
CLI00088,69.0,36.0,Básico,19.9,75,128,3.0,0.1,Boleto,mobile,0,Vai cancelar,0.6
CLI00089,65.0,11.0,Básico,19.9,19,108,1.0,2.8,Débito,mobile,0,Vai cancelar,0.6
CLI00090,32.0,44.0,PREMIUM,39.9,46,142,9.0,1.6,PIX,Desktop,1,Vai cancelar,0.6
CLI00091,20.0,28.0,Padrão,29.9,74,26,2.0,1.1,Boleto,TV,0,Vai cancelar,0.6
CLI00092,43.0,17.0,basico,19.9,36,182,7.0,2.5,Boleto,mobile,0,Vai cancelar,0.6
CLI00093,22.0,11.0,Básico,19.9,40,149,2.0,4.1,,tv,0,Vai continuar,0.2
CLI00094,51.0,2.0,Premium,39.9,96,50,2.0,1.4,,Mobile,1,Vai cancelar,0.9
CLI00095,18.0,54.0,basico,19.9,68,62,3.0,3.1,PIX,mobile,0,Vai continuar,0.2
CLI00096,47.0,45.0,Padrão,29.9,21,85,4.0,1.4,Débito,Tablet,1,Vai cancelar,0.6
CLI00097,62.0,52.0,PREMIUM,39.9,28,132,5.0,0.1,Débito,Mobile,1,Vai cancelar,0.6
CLI00098,41.0,,Básico,19.9,42,177,,4.2,PIX,mobile,0,Vai continuar,0.2
CLI00099,63.0,17.0,PREMIUM,39.9,78,177,9.0,1.4,,tv,0,Vai cancelar,0.6
CLI00100,60.0,53.0,basico,19.9,31,105,9.0,3.9,Boleto,Tablet,0,Vai continuar,0.2
CLI00101,21.0,55.0,Premium,39.9,1,112,8.0,1.8,Boleto,Tablet,1,Vai cancelar,0.6
CLI00102,18.0,53.0,PREMIUM,39.9,78,39,5.0,3.7,Credito,TV,0,Vai continuar,0.2
CLI00103,18.0,1.0,Premium,39.9,9,142,0.0,0.7,Débito,Mobile,1,Vai cancelar,0.9
CLI00104,60.0,50.0,Padrão,29.9,87,188,6.0,0.1,Débito,mobile,1,Vai cancelar,0.6
CLI00105,52.0,12.0,Padrão,29.9,80,134,4.0,3.0,PIX,Tablet,0,Vai continuar,0.2
CLI00106,21.0,35.0,Padrão,29.9,55,177,0.0,4.4,Boleto,Tablet,0,Vai continuar,0.2
CLI00107,53.0,20.0,PREMIUM,39.9,17,42,0.0,2.5,Cartão de Crédito,tv,0,Vai cancelar,0.6
CLI00108,29.0,44.0,Padrão,29.9,1,58,1.0,3.1,Boleto,Desktop,1,Vai continuar,0.2
CLI00109,67.0,37.0,basico,19.9,58,49,7.0,4.4,PIX,Tablet,0,Vai continuar,0.2
CLI00110,,16.0,PREMIUM,39.9,30,168,3.0,4.5,Cartão de Crédito,mobile,0,Vai continuar,0.2
CLI00111,51.0,11.0,Premium,39.9,74,88,2.0,3.4,Credito,mobile,0,Vai continuar,0.2
CLI00112,72.0,25.0,PREMIUM,39.9,69,72,2.0,0.5,PIX,mobile,1,Vai cancelar,0.6
CLI00113,19.0,59.0,Básico,19.9,12,78,2.0,4.4,Credito,Desktop,0,Vai continuar,0.2
CLI00114,69.0,58.0,Básico,19.9,10,34,7.0,3.2,Boleto,Desktop,1,Vai continuar,0.2
CLI00115,19.0,32.0,Básico,19.9,78,51,3.0,3.9,,Mobile,0,Vai continuar,0.2
CLI00116,64.0,12.0,Padrão,29.9,17,128,0.0,3.4,Credito,Desktop,1,Vai continuar,0.2
CLI00117,68.0,47.0,basico,19.9,18,73,0.0,3.6,Débito,TV,1,Vai continuar,0.2
CLI00118,75.0,30.0,basico,19.9,27,183,9.0,1.0,PIX,TV,0,Vai cancelar,0.6
CLI00119,27.0,39.0,basico,19.9,81,116,7.0,2.2,,tv,0,Vai cancelar,0.6
CLI00120,25.0,52.0,PREMIUM,39.9,95,55,5.0,1.7,Boleto,TV,1,Vai cancelar,0.6
CLI00121,61.0,42.0,PREMIUM,39.9,36,184,3.0,0.1,PIX,Tablet,0,Vai cancelar,0.6
CLI00122,51.0,38.0,PREMIUM,39.9,12,72,8.0,1.9,Credito,Mobile,0,Vai cancelar,0.6
CLI00123,72.0,1.0,basico,19.9,40,153,4.0,4.0,Débito,mobile,1,Vai continuar,0.5
CLI00124,40.0,48.0,Premium,39.9,20,38,7.0,3.8,Débito,Mobile,1,Vai continuar,0.2
CLI00125,66.0,30.0,Padrão,29.9,57,97,3.0,4.8,,mobile,0,Vai continuar,0.2
CLI00126,18.0,1.0,PREMIUM,39.9,83,152,5.0,4.8,Cartão de Crédito,tv,0,Vai continuar,0.5
CLI00127,69.0,52.0,Padrão,29.9,17,42,5.0,4.7,,TV,1,Vai continuar,0.2
CLI00128,48.0,54.0,Padrão,29.9,13,52,6.0,4.4,Boleto,mobile,0,Vai continuar,0.2
CLI00129,61.0,13.0,Básico,19.9,86,160,2.0,4.6,Boleto,Desktop,0,Vai continuar,0.2
CLI00130,41.0,60.0,PREMIUM,39.9,0,130,,4.8,,Desktop,1,Vai continuar,0.2
CLI00131,44.0,6.0,Básico,19.9,92,26,9.0,2.7,Credito,tv,0,Vai cancelar,0.6
CLI00132,49.0,13.0,basico,19.9,47,65,7.0,3.6,,tv,1,Vai continuar,0.2
CLI00133,56.0,44.0,PREMIUM,39.9,43,173,0.0,0.7,Débito,tv,1,Vai cancelar,0.6
CLI00134,55.0,22.0,basico,19.9,50,125,2.0,3.0,Credito,Mobile,0,Vai continuar,0.2
CLI00135,25.0,37.0,basico,19.9,96,114,2.0,2.3,,Mobile,1,Vai cancelar,0.6
CLI00136,72.0,51.0,PREMIUM,39.9,29,117,0.0,3.2,Credito,Tablet,0,Vai continuar,0.2
CLI00137,50.0,45.0,Padrão,29.9,6,31,8.0,1.9,Credito,Tablet,1,Vai cancelar,0.6
CLI00138,61.0,58.0,Básico,19.9,83,77,9.0,2.8,Débito,tv,1,Vai cancelar,0.6
CLI00139,66.0,31.0,PREMIUM,39.9,18,31,3.0,1.9,Credito,mobile,0,Vai cancelar,0.6
CLI00140,24.0,45.0,Básico,19.9,89,105,7.0,4.8,Boleto,Tablet,0,Vai continuar,0.2
CLI00141,27.0,49.0,Padrão,29.9,82,142,2.0,0.3,Cartão de Crédito,Tablet,0,Vai cancelar,0.6
CLI00142,26.0,39.0,basico,19.9,60,29,7.0,4.3,Credito,Mobile,1,Vai continuar,0.2
CLI00143,28.0,47.0,PREMIUM,39.9,94,79,5.0,3.6,Cartão de Crédito,Desktop,1,Vai continuar,0.2
CLI00144,52.0,26.0,Premium,39.9,40,113,8.0,0.9,,Mobile,0,Vai cancelar,0.6
CLI00145,53.0,52.0,Básico,19.9,0,171,1.0,4.9,Credito,tv,1,Vai continuar,0.2
CLI00146,40.0,33.0,Padrão,29.9,98,125,4.0,4.9,PIX,mobile,0,Vai continuar,0.2
CLI00147,47.0,41.0,Básico,19.9,1,17,5.0,4.2,PIX,Mobile,1,Vai continuar,0.2
CLI00148,19.0,37.0,Padrão,29.9,89,166,2.0,1.6,Débito,TV,0,Vai cancelar,0.6
CLI00149,57.0,58.0,Premium,39.9,10,154,5.0,1.3,PIX,Tablet,1,Vai cancelar,0.6
CLI00150,43.0,7.0,Premium,39.9,22,140,5.0,3.0,,Mobile,0,Vai continuar,0.2
CLI00151,40.0,2.0,Básico,19.9,40,12,3.0,3.4,Boleto,tv,1,Vai continuar,0.5
CLI00152,59.0,27.0,Premium,39.9,52,47,1.0,4.2,Débito,Desktop,1,Vai continuar,0.2
CLI00153,32.0,45.0,Padrão,29.9,58,18,4.0,3.6,Débito,Mobile,1,Vai continuar,0.2
CLI00154,50.0,,Premium,39.9,3,31,5.0,3.5,Credito,Mobile,0,Vai continuar,0.2
CLI00155,37.0,51.0,Básico,19.9,27,11,0.0,2.6,Boleto,TV,0,Vai cancelar,0.6
CLI00156,50.0,12.0,PREMIUM,39.9,95,188,8.0,3.4,Credito,tv,0,Vai continuar,0.2
CLI00157,,,basico,19.9,44,68,9.0,4.9,,Mobile,0,Vai continuar,0.2
CLI00158,68.0,54.0,Padrão,29.9,28,131,9.0,4.9,Cartão de Crédito,Mobile,0,Vai continuar,0.2
CLI00159,68.0,58.0,Básico,19.9,99,130,0.0,2.8,Credito,mobile,1,Vai cancelar,0.6
CLI00160,74.0,27.0,Básico,19.9,15,173,0.0,0.8,,Tablet,1,Vai cancelar,0.6
CLI00161,58.0,18.0,Padrão,29.9,8,18,9.0,4.4,Credito,Desktop,1,Vai continuar,0.2
CLI00162,50.0,24.0,PREMIUM,39.9,70,106,4.0,1.4,Débito,TV,0,Vai cancelar,0.6
CLI00163,69.0,55.0,Padrão,29.9,43,12,6.0,1.5,Cartão de Crédito,Tablet,1,Vai cancelar,0.6
CLI00164,66.0,6.0,Padrão,29.9,88,141,3.0,1.8,,Mobile,0,Vai cancelar,0.6
CLI00165,28.0,8.0,Premium,39.9,36,38,4.0,1.1,Cartão de Crédito,Tablet,0,Vai cancelar,0.6
CLI00166,52.0,39.0,basico,19.9,34,69,9.0,1.0,Boleto,tv,1,Vai cancelar,0.6
CLI00167,51.0,35.0,basico,19.9,69,19,0.0,1.8,Credito,Tablet,0,Vai cancelar,0.6
CLI00168,63.0,25.0,Padrão,29.9,36,63,3.0,2.2,Credito,Mobile,0,Vai cancelar,0.6
CLI00169,24.0,51.0,PREMIUM,39.9,55,38,6.0,3.6,,tv,1,Vai continuar,0.2
CLI00170,28.0,53.0,basico,19.9,39,163,2.0,1.6,Credito,tv,0,Vai cancelar,0.6
CLI00171,34.0,60.0,basico,19.9,71,80,5.0,4.0,Débito,Desktop,0,Vai continuar,0.2
CLI00172,70.0,13.0,basico,19.9,34,35,5.0,2.6,Boleto,tv,1,Vai cancelar,0.6
CLI00173,34.0,10.0,PREMIUM,39.9,42,104,8.0,0.8,PIX,tv,1,Vai cancelar,0.6
CLI00174,65.0,22.0,Padrão,29.9,40,62,3.0,1.3,Credito,Desktop,1,Vai cancelar,0.6
CLI00175,19.0,6.0,PREMIUM,39.9,16,172,7.0,4.8,Cartão de Crédito,Tablet,1,Vai continuar,0.2
CLI00176,23.0,58.0,Padrão,29.9,99,46,4.0,1.3,Credito,Mobile,1,Vai cancelar,0.6
CLI00177,39.0,44.0,Básico,19.9,85,90,8.0,1.8,Cartão de Crédito,Desktop,1,Vai cancelar,0.6
CLI00178,54.0,44.0,Básico,19.9,26,50,9.0,1.6,Boleto,mobile,0,Vai cancelar,0.6
CLI00179,42.0,19.0,Básico,19.9,36,25,4.0,4.7,Boleto,TV,1,Vai continuar,0.2
CLI00180,75.0,17.0,PREMIUM,39.9,74,151,7.0,1.4,PIX,tv,0,Vai cancelar,0.6
CLI00181,63.0,59.0,Padrão,29.9,35,147,6.0,3.3,Boleto,TV,1,Vai continuar,0.2
CLI00182,22.0,56.0,Básico,19.9,18,80,5.0,4.3,,Mobile,1,Vai continuar,0.2
CLI00183,35.0,1.0,basico,19.9,61,53,8.0,2.2,Credito,TV,1,Vai cancelar,0.9
CLI00184,54.0,11.0,Padrão,29.9,74,15,3.0,2.4,Cartão de Crédito,Mobile,1,Vai cancelar,0.6
CLI00185,48.0,16.0,basico,19.9,48,33,6.0,4.0,Cartão de Crédito,Desktop,0,Vai continuar,0.2
CLI00186,73.0,46.0,Premium,39.9,97,48,4.0,1.1,Cartão de Crédito,Mobile,1,Vai cancelar,0.6
CLI00187,65.0,47.0,basico,19.9,87,93,3.0,4.6,Cartão de Crédito,tv,0,Vai continuar,0.2
CLI00188,66.0,59.0,Padrão,29.9,38,63,2.0,0.5,PIX,Tablet,0,Vai cancelar,0.6
CLI00189,40.0,38.0,Premium,39.9,81,103,8.0,4.9,Boleto,TV,0,Vai continuar,0.2
CLI00190,72.0,49.0,Premium,39.9,9,18,5.0,1.3,Credito,mobile,1,Vai cancelar,0.6
CLI00191,58.0,7.0,PREMIUM,39.9,64,155,1.0,2.4,Credito,Mobile,0,Vai cancelar,0.6
CLI00192,37.0,27.0,PREMIUM,39.9,10,119,9.0,4.5,Débito,Desktop,0,Vai continuar,0.2
CLI00193,69.0,34.0,basico,19.9,15,144,1.0,2.9,Credito,Mobile,0,Vai cancelar,0.6
CLI00194,63.0,21.0,Premium,39.9,42,57,6.0,4.1,Cartão de Crédito,tv,1,Vai continuar,0.2
CLI00195,42.0,29.0,basico,19.9,60,186,1.0,4.2,Credito,mobile,0,Vai continuar,0.2
CLI00196,66.0,13.0,basico,19.9,53,70,0.0,0.9,,mobile,0,Vai cancelar,0.6
CLI00197,39.0,38.0,basico,19.9,54,20,8.0,4.3,PIX,Mobile,0,Vai continuar,0.2
CLI00198,77.0,6.0,Premium,39.9,56,21,0.0,3.3,,Desktop,0,Vai continuar,0.2
CLI00199,75.0,60.0,Premium,39.9,0,99,9.0,0.7,Boleto,tv,0,Vai cancelar,0.6
CLI00200,34.0,60.0,basico,19.9,13,147,1.0,0.1,Boleto,mobile,0,Vai cancelar,0.6
CLI00201,51.0,47.0,Premium,39.9,28,135,9.0,0.3,Cartão de Crédito,Tablet,0,Vai cancelar,0.6
CLI00202,48.0,2.0,Premium,39.9,67,22,6.0,3.1,Cartão de Crédito,Mobile,1,Vai continuar,0.5
CLI00203,47.0,29.0,Básico,19.9,31,169,7.0,0.6,,Mobile,1,Vai cancelar,0.6
CLI00204,,20.0,PREMIUM,39.9,50,145,,1.5,,Tablet,0,Vai cancelar,0.6
CLI00205,69.0,27.0,Padrão,29.9,64,50,8.0,2.1,Credito,tv,0,Vai cancelar,0.6
CLI00206,48.0,50.0,basico,19.9,63,145,7.0,0.0,Credito,mobile,1,Vai cancelar,0.6
CLI00207,43.0,56.0,Premium,39.9,91,80,9.0,1.3,Débito,Tablet,1,Vai cancelar,0.6
CLI00208,76.0,52.0,Básico,19.9,70,43,1.0,0.1,PIX,Tablet,0,Vai cancelar,0.6
CLI00209,56.0,49.0,Premium,39.9,22,157,9.0,1.5,,Mobile,1,Vai cancelar,0.6
CLI00210,28.0,58.0,Básico,19.9,23,18,8.0,3.7,PIX,Mobile,1,Vai continuar,0.2
CLI00211,24.0,2.0,basico,19.9,58,17,7.0,0.9,Credito,TV,1,Vai cancelar,0.9
CLI00212,51.0,33.0,basico,19.9,82,53,9.0,4.6,Boleto,Desktop,0,Vai continuar,0.2
CLI00213,32.0,38.0,Padrão,29.9,7,28,0.0,0.8,Boleto,Mobile,1,Vai cancelar,0.6
CLI00214,44.0,27.0,Premium,39.9,27,185,7.0,3.4,Boleto,mobile,0,Vai continuar,0.2
CLI00215,68.0,36.0,Básico,19.9,83,20,9.0,4.6,,tv,1,Vai continuar,0.2
CLI00216,70.0,51.0,Padrão,29.9,18,59,2.0,2.1,Débito,Desktop,0,Vai cancelar,0.6
CLI00217,54.0,29.0,Padrão,29.9,69,19,7.0,2.9,PIX,Tablet,1,Vai cancelar,0.6
CLI00218,49.0,20.0,Padrão,29.9,19,56,1.0,4.6,Débito,TV,0,Vai continuar,0.2
CLI00219,69.0,14.0,Padrão,29.9,85,128,4.0,2.3,Boleto,TV,0,Vai cancelar,0.6
CLI00220,48.0,36.0,Padrão,29.9,61,39,3.0,4.4,Boleto,Mobile,0,Vai continuar,0.2
CLI00221,58.0,54.0,basico,19.9,1,78,9.0,4.1,,TV,1,Vai continuar,0.2
CLI00222,21.0,40.0,Premium,39.9,62,32,7.0,1.0,,Tablet,1,Vai cancelar,0.6
CLI00223,35.0,22.0,Premium,39.9,91,121,1.0,0.1,Débito,Mobile,1,Vai cancelar,0.6
CLI00224,66.0,49.0,Básico,19.9,67,149,4.0,1.6,Boleto,Tablet,1,Vai cancelar,0.6
CLI00225,27.0,22.0,Premium,39.9,41,25,0.0,3.1,PIX,TV,1,Vai continuar,0.2
CLI00226,58.0,13.0,basico,19.9,72,139,5.0,4.9,Credito,mobile,0,Vai continuar,0.2
CLI00227,64.0,23.0,Básico,19.9,10,19,5.0,0.3,,tv,1,Vai cancelar,0.6
CLI00228,55.0,5.0,Básico,19.9,56,164,1.0,4.9,Débito,tv,0,Vai continuar,0.5
CLI00229,61.0,2.0,Básico,19.9,21,106,5.0,2.6,Boleto,Tablet,1,Vai cancelar,0.9
CLI00230,62.0,6.0,Básico,19.9,19,33,2.0,0.6,Credito,Mobile,0,Vai cancelar,0.6
CLI00231,21.0,56.0,Premium,39.9,61,24,5.0,1.4,PIX,tv,0,Vai cancelar,0.6
CLI00232,30.0,45.0,basico,19.9,69,78,4.0,1.9,Débito,mobile,1,Vai cancelar,0.6
CLI00233,68.0,53.0,Premium,39.9,75,86,8.0,2.7,Débito,Tablet,1,Vai cancelar,0.6
CLI00234,41.0,29.0,PREMIUM,39.9,21,70,4.0,0.7,Cartão de Crédito,tv,1,Vai cancelar,0.6
CLI00235,18.0,36.0,Padrão,29.9,25,163,1.0,3.4,Débito,Desktop,0,Vai continuar,0.2
CLI00236,70.0,50.0,basico,19.9,19,169,4.0,2.3,Credito,mobile,1,Vai cancelar,0.6
CLI00237,72.0,44.0,Padrão,29.9,49,38,7.0,1.6,Débito,Tablet,0,Vai cancelar,0.6
CLI00238,38.0,29.0,PREMIUM,39.9,98,163,5.0,0.2,Boleto,TV,0,Vai cancelar,0.6
CLI00239,69.0,2.0,Básico,19.9,10,40,6.0,2.6,,Tablet,1,Vai cancelar,0.9
CLI00240,54.0,54.0,Básico,19.9,13,100,0.0,3.0,Débito,tv,0,Vai continuar,0.2
CLI00241,41.0,23.0,Padrão,29.9,65,177,5.0,2.8,PIX,Mobile,0,Vai cancelar,0.6
CLI00242,77.0,24.0,basico,19.9,4,74,3.0,3.7,Cartão de Crédito,Tablet,0,Vai continuar,0.2
CLI00243,29.0,50.0,Padrão,29.9,26,141,1.0,4.8,PIX,Tablet,0,Vai continuar,0.2
